id,title,reviews
30558,Николай,"[['78526', '7.7'], ['87825', '9.0']]"
31046,Итальянец,"[['153697', '8.7'], ['154722', '8.3'], ['152333', '9.0'], ['151832', '7.3'], ['152204', '8.0'], ['151259', '8.0'], ['151209', '7.7'], ['152332', '8.0'], ['149268', '8.3'], ['149267', '8.3'], ['110423', '8.7'], ['147948', '9.3'], ['147866', '9.3'], ['117282', '8.7'], ['117212', '8.7'], ['116674', '8.3'], ['117095', '7.7'], ['116687', '8.0']]"
31672,Zodiac,"[['170416', '7.0'], ['165583', '8.3'], ['165703', '8.7'], ['101894', '9.0'], ['102245', '8.0'], ['86293', '8.7'], ['84178', '9.3']]"
31051,Хлеб насущный,"[['190484', '3.7'], ['175379', '7.7'], ['175214', '5.3'], ['175213', '5.3'], ['150025', '5.7'], ['107135', '10'], ['90331', '9.0']]"
31879,Шахин-шах,"[['162997', '6.0'], ['89390', '10']]"
36122,Zlata Praga,"[['114994', '8.7'], ['114969', '8.7'], ['114940', '9.0'], ['114866', '8.7'], ['114816', '7.7']]"
31259,Визирь Махалля & Граф Орлов,"[['193335', '2.3'], ['114994', '8.0'], ['118467', '8.3'], ['118406', '8.0'], ['117282', '8.3'], ['87832', '9.3']]"
37919,Brisket BBQ,"[['166802', '7.7'], ['90265', '9.7']]"
31600,Боярский,"[['154815', '9.3'], ['155486', '8.7'], ['155487', '9.0'], ['152427', '8.7'], ['152698', '9.0'], ['151279', '8.3'], ['151207', '8.0'], ['151221', '8.0'], ['149264', '8.3'], ['149265', '9.0'], ['147868', '8.0'], ['147866', '8.7'], ['102501', '8.0'], ['155490', '9.0'], ['155489', '9.0'], ['155488', '9.0'], ['114206', '8.0'], ['114978', '8.7'], ['114938', '8.3'], ['114816', '7.7'], ['90755', '8.0']]"
32099,Бирхоф,"[['182108', '8.0'], ['181585', '7.7'], ['181155', '8.3'], ['180908', '8.0'], ['141324', '8.0'], ['140986', '7.7'], ['140594', '7.3'], ['140193', '8.0']]"
37239,Backstage,"[['101792', '8.3'], ['101765', '9.0'], ['101759', '9.3'], ['87615', '8.0']]"
33112,Яуза,"[['180548', '10'], ['150617', '10'], ['140098', '9.0'], ['139785', '8.3'], ['136094', '8.0'], ['139724', '8.0'], ['140097', '8.7']]"
42382,Некрасов,"[['121983', '9.3'], ['135618', '9.0'], ['135681', '8.0'], ['135725', '8.7'], ['135756', '8.0']]"
35683,Les,"[['189268', '7.7'], ['167840', '9.3']]"
41069,Marrakesh,"[['159935', '9.3'], ['159936', '8.0'], ['155575', '8.3'], ['155576', '8.3'], ['152952', '9.7'], ['153870', '9.0'], ['153044', '9.7'], ['153043', '9.0'], ['151863', '8.0'], ['151288', '7.3'], ['149273', '8.0'], ['149275', '8.7'], ['112729', '8.3'], ['142914', '1.0'], ['140098', '9.7'], ['140095', '9.0'], ['119222', '10'], ['119980', '9.0'], ['119843', '8.3']]"
30523,Pinzeria by Bontempi,"[['201443', '6.0'], ['197320', '3.3'], ['172446', '10'], ['165666', '9.0'], ['122363', '9.0'], ['122335', '7.3'], ['86587', '8.3'], ['86329', '9.7'], ['86288', '8.3']]"
30829,Punch & Judy Pub,"[['167020', '3.3'], ['124321', '8.7'], ['86731', '8.0'], ['86720', '8.7'], ['86379', '8.7']]"
31305,Rock’n’Roll Bar & Café,"[['178658', '9.3'], ['118774', '8.7'], ['117090', '9.0'], ['112729', '7.3'], ['101772', '7.7'], ['101792', '9.0']]"
31609,Куршевель,"[['90759', '7.7'], ['84525', '8.0'], ['84179', '9.7']]"
32272,Орлов,"[['100846', '8.3'], ['92483', '9.0']]"
30747,Rico,"[['91523', '8.3'], ['85718', '8.7']]"
41308,Колизей Холл,"[['186985', '1.0'], ['185730', '10'], ['171757', '10'], ['171073', '10'], ['151766', '10'], ['123314', '9.0'], ['99354', '10']]"
37795,Каприз,"[['101895', '8.0'], ['102244', '8.0'], ['101757', '9.0'], ['101894', '8.3']]"
